INDEX,TARGET_FLAG,TARGET_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY,IMP_AGE,M_IMP_AGE,AGE_BIN,IMP_YOJ,M_IMP_YOJ,IMP_INCOME,M_IMP_INCOME,IMP_JOB,M_IMP_JOB,IMP_HOME_VAL,M_IMP_HOME_VAL,IMP_TRAVTIME,IMP_BLUEBOOK,OLDCLAIM_BIN,IMP_CAR_AGE,M_IMP_CAR_AGE
4705,0,0,0,43,0,11,"$74,635",No,$0,z_No,z_F,Bachelors,z_Blue Collar,45,Commercial,"$18,720",1,Sports Car,no,$0,0,No,1,8,z_Highly Rural/ Rural,43,0,2,11,0,74635.455594,0,z_Blue Collar,0,0,0,44.897421825,18720,0,8,0
4706,1,3705,0,50,0,10,"$58,945",No,$0,z_No,z_F,Bachelors,Professional,18,Private,"$20,260",1,Sports Car,no,"$5,603",1,No,0,10,Highly Urban/ Urban,50,0,3,10,0,58944.892083,0,Professional,0,0,0,18.103185083,20260,2,10,0
4707,0,0,0,40,0,11,"$90,832",No,$0,z_No,z_F,Masters,Lawyer,20,Private,"$14,580",1,Pickup,no,"$3,842",1,No,2,1,Highly Urban/ Urban,40,0,2,11,0,90832.294528,0,Lawyer,0,0,0,19.855842813,14580,1,1,0
4708,0,0,0,40,0,,"$76,913",No,"$197,922",Yes,M,Masters,Lawyer,24,Private,"$13,820",10,Minivan,no,$0,0,No,6,1,Highly Urban/ Urban,40,0,2,10,1,76912.616286,0,Lawyer,0,197921.63637,0,23.56519459,13820,0,1,0
4709,0,0,0,42,0,10,"$14,356",No,"$112,218",Yes,z_F,z_High School,Home Maker,25,Private,"$13,100",13,z_SUV,no,"$29,964",3,No,0,,Highly Urban/ Urban,42,0,2,10,0,14356.351985,0,Home Maker,0,112217.66831,0,25.4593244,13100,3,8,1
4710,0,0,0,39,1,6,"$68,004",Yes,$0,z_No,z_F,Bachelors,Manager,29,Commercial,"$28,800",10,Pickup,no,$0,0,No,0,9,Highly Urban/ Urban,39,0,2,6,0,68004.366123,0,Manager,0,0,0,29.343615841,28800,0,9,0
4712,0,0,1,42,2,13,"$45,060",No,"$184,246",Yes,M,Bachelors,Manager,32,Private,"$9,490",6,Minivan,yes,$0,0,No,0,12,Highly Urban/ Urban,42,0,2,13,0,45060.101056,0,Manager,0,184246.31456,0,31.578628868,9490,0,12,0
4713,0,0,0,25,0,12,"$75,966",No,"$187,523",z_No,M,Bachelors,Professional,25,Private,"$18,160",3,Minivan,yes,"$31,063",1,Yes,5,9,Highly Urban/ Urban,25,0,0,12,0,75966.350888,0,Professional,0,187523.28146,0,24.779291621,18160,3,9,0
4714,1,4408,0,52,0,11,"$54,983",No,"$223,545",Yes,M,Masters,,24,Commercial,"$12,200",2,Pickup,yes,"$9,093",3,No,7,12,Highly Urban/ Urban,52,0,3,11,0,54982.836679,0,z_Blue Collar,1,223544.65641,0,24.482899174,12200,2,12,0
4715,0,0,0,37,0,9,"$26,816",No,$0,z_No,M,PhD,Lawyer,11,Private,"$15,090",1,Minivan,yes,"$30,605",4,Yes,4,9,Highly Urban/ Urban,37,0,2,9,0,26815.935901,0,Lawyer,0,0,0,11.082901618,15090,3,9,0
4716,0,0,0,46,0,12,"$128,083",No,"$342,166",Yes,z_F,Bachelors,z_Blue Collar,41,Commercial,"$6,100",6,z_SUV,no,"$8,151",2,No,4,10,Highly Urban/ Urban,46,0,3,12,0,128083.17703,0,z_Blue Collar,0,342165.59565,0,41.056307365,6100,2,10,0
4717,0,0,0,50,0,12,"$21,477",No,"$97,768",Yes,z_F,<High School,z_Blue Collar,41,Private,"$25,640",6,Minivan,no,"$33,825",3,Yes,0,1,Highly Urban/ Urban,50,0,3,12,0,21476.568351,0,z_Blue Collar,0,97768.027076,0,40.847008497,25640,3,1,0
4718,0,0,0,48,0,14,"$1,613",No,"$93,040",Yes,M,Bachelors,Home Maker,35,Commercial,"$32,260",4,Panel Truck,yes,$0,0,No,0,10,Highly Urban/ Urban,48,0,3,14,0,1613.4155164,0,Home Maker,0,93039.714922,0,34.782376657,32260,0,10,0
4719,0,0,0,33,3,0,$0,No,"$68,811",Yes,z_F,<High School,Home Maker,23,Private,"$8,670",7,z_SUV,no,$0,0,No,2,,Highly Urban/ Urban,33,0,1,0,0,0,0,Home Maker,0,68811.232628,0,23.480938269,8670,0,8,1
4720,1,3334,0,44,0,9,"$61,958",No,"$168,222",Yes,M,z_High School,z_Blue Collar,56,Commercial,"$27,120",1,Panel Truck,yes,$642,2,No,0,10,Highly Urban/ Urban,44,0,2,9,0,61957.964908,0,z_Blue Collar,0,168221.88742,0,55.740376373,27120,1,10,0
4721,0,0,2,45,2,14,,No,,Yes,M,Bachelors,Manager,28,Commercial,"$21,910",13,Van,no,$0,0,No,0,7,Highly Urban/ Urban,45,0,2,14,0,87461.56,1,Manager,0,199290.2,1,27.7291508,21910,0,7,0
4723,0,0,0,31,0,12,"$46,948",No,$0,z_No,z_F,Masters,,5,Private,"$29,080",1,Minivan,no,$0,0,No,0,,Highly Urban/ Urban,31,0,1,12,0,46948.280382,0,z_Blue Collar,1,0,0,5,29080,0,8,1
4724,0,0,0,57,0,16,"$39,907",No,"$214,055",Yes,z_F,<High School,z_Blue Collar,21,Private,"$11,190",1,z_SUV,no,$0,0,No,2,8,Highly Urban/ Urban,57,0,4,16,0,39907.315835,0,z_Blue Collar,0,214055.0431,0,20.708660446,11190,0,8,0
4725,0,0,0,47,0,13,"$75,622",No,"$228,396",Yes,z_F,z_High School,Manager,23,Private,"$13,760",13,z_SUV,no,"$34,545",1,No,4,7,Highly Urban/ Urban,47,0,3,13,0,75622.396124,0,Manager,0,228395.71379,0,22.506133205,13760,3,7,0
4726,1,3886,0,31,1,10,"$8,247",Yes,$0,z_No,z_F,z_High School,Student,46,Commercial,"$5,200",1,Sports Car,no,"$3,068",2,No,5,1,Highly Urban/ Urban,31,0,1,10,0,8246.7411134,0,Student,0,0,0,46.284354891,5200,1,1,0
4728,0,0,0,43,0,10,"$35,511",No,"$148,772",Yes,M,z_High School,z_Blue Collar,23,Commercial,"$9,350",4,Pickup,yes,"$9,981",2,No,3,1,Highly Urban/ Urban,43,0,2,10,0,35510.565585,0,z_Blue Collar,0,148772.30758,0,22.876956329,9350,2,1,0
4729,0,0,0,40,0,7,"$52,898",No,$0,z_No,M,Bachelors,Manager,30,Private,"$10,790",11,Pickup,yes,"$5,399",1,No,7,8,Highly Urban/ Urban,40,0,2,7,0,52898.086544,0,Manager,0,0,0,29.634488491,10790,2,8,0
4730,0,0,1,36,2,0,$0,Yes,$0,z_No,z_F,<High School,Student,29,Commercial,"$10,910",17,Minivan,no,"$8,255",3,No,0,4,z_Highly Rural/ Rural,36,0,2,0,0,0,0,Student,0,0,0,29.360883994,10910,2,4,0
4731,1,2936,0,55,0,12,"$111,708",No,"$292,773",Yes,M,Masters,,5,Commercial,"$18,080",4,Van,yes,$0,0,No,0,1,Highly Urban/ Urban,55,0,3,12,0,111708.13461,0,Lawyer,1,292772.55064,0,5,18080,0,1,0
4732,0,0,0,51,0,11,"$118,786",No,"$351,051",z_No,M,Masters,,29,Commercial,"$30,480",1,Panel Truck,no,$0,0,No,0,18,Highly Urban/ Urban,51,0,3,11,0,118786.16308,0,Lawyer,1,351050.63896,0,29.311415964,30480,0,18,0
4733,0,0,1,39,2,14,"$58,154",No,"$205,760",Yes,M,Masters,,21,Commercial,"$25,650",11,Panel Truck,yes,$0,0,No,0,5,Highly Urban/ Urban,39,0,2,14,0,58153.780889,0,z_Blue Collar,1,205759.8448,0,20.781462925,25650,0,5,0
4734,0,0,0,55,1,16,"$97,765",No,"$265,727",Yes,z_F,Masters,Manager,55,Private,"$26,030",1,Minivan,no,"$23,719",3,Yes,3,12,Highly Urban/ Urban,55,0,3,16,0,97765.248642,0,Manager,0,265726.70179,0,54.960141165,26030,3,12,0
4735,1,5544,0,48,0,13,$312,No,"$90,071",Yes,z_F,<High School,Home Maker,30,Commercial,"$14,770",6,Pickup,no,$0,0,No,0,1,Highly Urban/ Urban,48,0,3,13,0,311.83268255,0,Home Maker,0,90070.709624,0,30.253759029,14770,0,1,0
4736,0,0,0,44,0,14,"$67,071",No,"$268,429",Yes,z_F,Bachelors,Home Maker,44,Private,"$16,690",1,Sports Car,no,$0,0,No,0,,z_Highly Rural/ Rural,44,0,2,14,0,67070.539617,0,Home Maker,0,268428.67766,0,44.309965897,16690,0,8,1
4737,1,32363.241752,0,68,0,10,"$76,821",No,$0,z_No,M,Masters,Lawyer,47,Private,"$15,980",4,z_SUV,no,$0,0,No,0,15,z_Highly Rural/ Rural,68,0,5,10,0,76820.544271,0,Lawyer,0,0,0,47.358753166,15980,0,15,0
4738,1,2841.5704759,0,47,0,13,"$109,533",No,"$300,480",Yes,M,PhD,,37,Private,"$14,730",4,Minivan,no,$0,0,No,3,,Highly Urban/ Urban,47,0,3,13,0,109532.65922,0,Lawyer,1,300480.44344,0,36.521116948,14730,0,8,1
4739,1,5704,1,48,1,11,"$75,741",Yes,"$225,300",z_No,z_F,Masters,Lawyer,44,Private,"$15,190",13,z_SUV,no,$0,0,No,3,19,Highly Urban/ Urban,48,0,3,11,0,75740.89462,0,Lawyer,0,225299.7745,0,44.088023745,15190,0,19,0
4740,0,0,0,51,0,7,"$232,256",No,"$583,973",Yes,M,PhD,,43,Commercial,"$32,670",7,Panel Truck,yes,"$14,738",1,No,0,21,Highly Urban/ Urban,51,0,3,7,0,232256.48661,0,Doctor,1,497746,0,43.488656409,32670,3,21,0
4741,0,0,0,49,0,0,$0,No,$0,Yes,M,z_High School,Student,30,Commercial,"$19,120",1,Van,yes,"$3,605",1,No,6,1,Highly Urban/ Urban,49,0,3,0,0,0,0,Student,0,0,0,30.444349805,19120,1,1,0
4742,0,0,0,35,0,10,$367,No,$0,Yes,M,<High School,Student,25,Private,"$7,360",6,Pickup,no,$0,0,No,0,1,Highly Urban/ Urban,35,0,1,10,0,366.78952414,0,Student,0,0,0,25.358874866,7360,0,1,0
4743,1,5759.6682491,0,58,0,0,$0,No,"$103,525",Yes,z_F,Masters,Home Maker,48,Private,"$20,710",1,Sports Car,no,"$8,956",2,No,0,1,Highly Urban/ Urban,58,0,4,0,0,0,0,Home Maker,0,103525.03323,0,48.471448443,20710,2,1,0
4744,0,0,0,38,0,5,"$29,879",No,,z_No,z_F,z_High School,Clerical,29,Private,"$19,630",10,z_SUV,no,"$3,587",2,No,5,7,Highly Urban/ Urban,38,0,2,5,0,29878.571769,0,Clerical,0,117635.99,1,28.975433915,19630,1,7,0
4745,1,2096,0,45,0,9,"$22,741",No,"$151,957",z_No,M,<High School,z_Blue Collar,34,Private,"$17,940",13,Minivan,yes,$0,0,Yes,0,1,Highly Urban/ Urban,45,0,2,9,0,22740.575683,0,z_Blue Collar,0,151956.5255,0,34.354225918,17940,0,1,0
4746,0,0,0,50,0,9,,No,"$236,239",Yes,z_F,z_High School,z_Blue Collar,19,Commercial,"$20,940",4,Pickup,no,"$8,390",3,No,0,1,Highly Urban/ Urban,50,0,3,9,0,58957.01,1,z_Blue Collar,0,236239.38914,0,18.972239584,20940,2,1,0
4747,0,0,4,70,4,18,"$48,622",No,"$169,995",Yes,z_F,Bachelors,Professional,23,Private,"$25,640",1,z_SUV,no,"$24,392",1,Yes,9,6,Highly Urban/ Urban,70,0,5,18,0,48621.719278,0,Professional,0,169994.83975,0,23.061777423,25640,3,6,0
4748,0,0,0,54,0,7,"$48,697",No,"$219,687",z_No,M,Bachelors,Professional,10,Private,"$6,900",4,Minivan,yes,$0,0,No,0,1,z_Highly Rural/ Rural,54,0,3,7,0,48696.760495,0,Professional,0,219687.13691,0,9.6157401917,6900,0,1,0
4749,0,0,0,44,2,10,"$89,607",Yes,"$260,398",z_No,z_F,Bachelors,z_Blue Collar,70,Commercial,"$26,080",4,Pickup,no,$0,0,No,0,4,z_Highly Rural/ Rural,44,0,2,10,0,89606.8815,0,z_Blue Collar,0,260398.03977,0,69.753765006,26080,0,4,0
4750,0,0,0,40,1,13,"$20,676",No,"$161,481",Yes,M,<High School,Clerical,5,Private,"$7,570",7,Pickup,yes,$0,0,No,3,4,Highly Urban/ Urban,40,0,2,13,0,20675.845011,0,Clerical,0,161480.92348,0,5,7570,0,4,0
4751,0,0,0,38,0,10,"$93,898",No,$0,z_No,z_F,Bachelors,Professional,53,Private,"$17,350",3,z_SUV,no,$0,0,No,0,1,z_Highly Rural/ Rural,38,0,2,10,0,93898.207128,0,Professional,0,0,0,52.889136844,17350,0,1,0
4752,1,2550,0,48,0,15,"$67,876",No,"$242,138",Yes,z_F,z_High School,z_Blue Collar,31,Commercial,"$6,410",1,z_SUV,no,"$8,268",3,No,3,1,Highly Urban/ Urban,48,0,3,15,0,67875.98021,0,z_Blue Collar,0,242137.73045,0,31.408061881,6410,2,1,0
4753,1,5470,2,45,3,14,"$4,910",No,$0,Yes,z_F,<High School,Student,12,Private,"$17,450",1,z_SUV,no,$0,0,Yes,0,1,Highly Urban/ Urban,45,0,2,14,0,4910.2422035,0,Student,0,0,0,12.067590683,17450,0,1,0
4754,0,0,1,45,2,15,"$64,916",No,"$232,064",Yes,z_F,Bachelors,z_Blue Collar,57,Commercial,"$21,270",1,Pickup,no,$958,1,No,2,12,Highly Urban/ Urban,45,0,2,15,0,64916.241927,0,z_Blue Collar,0,232063.97166,0,57.345196412,21270,1,12,0
4755,0,0,0,43,0,8,"$51,566",No,"$175,137",Yes,M,z_High School,z_Blue Collar,31,Commercial,"$16,010",1,Minivan,yes,$0,0,No,0,1,Highly Urban/ Urban,43,0,2,8,0,51565.67672,0,z_Blue Collar,0,175136.82741,0,31.002116977,16010,0,1,0
4757,0,0,0,48,0,14,"$54,691",No,"$179,827",Yes,M,Masters,,21,Commercial,"$6,970",5,Pickup,yes,"$6,124",1,No,3,13,Highly Urban/ Urban,48,0,3,14,0,54691.082604,0,z_Blue Collar,1,179827.405,0,20.76881668,6970,2,13,0
4758,0,0,2,41,3,14,"$56,820",No,"$176,631",Yes,M,z_High School,z_Blue Collar,56,Commercial,"$11,280",10,Pickup,yes,$0,0,No,0,6,Highly Urban/ Urban,41,0,2,14,0,56820.457153,0,z_Blue Collar,0,176630.9697,0,56.001979299,11280,0,6,0
4759,0,0,0,63,0,15,"$26,921",No,"$140,455",Yes,z_F,Bachelors,Manager,19,Private,"$13,660",1,Sports Car,no,"$8,255",2,No,0,11,Highly Urban/ Urban,63,0,4,15,0,26921.074996,0,Manager,0,140455.27192,0,19.370718485,13660,2,11,0
4760,0,0,0,45,0,14,"$238,874",No,,Yes,z_F,PhD,Manager,7,Private,"$8,560",10,Sports Car,no,$0,0,No,3,16,Highly Urban/ Urban,45,0,2,14,0,238873.63222,0,Manager,0,199290.2,1,7.419160733,8560,0,16,0
4761,0,0,0,34,1,15,,No,$0,Yes,z_F,<High School,Student,24,Private,"$13,630",12,z_SUV,no,"$17,880",2,No,4,1,Highly Urban/ Urban,34,0,1,15,0,6309.65,1,Student,0,0,0,24.239351088,13630,3,1,0
4764,0,0,0,55,0,15,"$81,427",No,$0,z_No,z_F,Masters,Lawyer,7,Private,"$25,160",3,Minivan,no,"$30,500",2,Yes,3,17,Highly Urban/ Urban,55,0,3,15,0,81426.798457,0,Lawyer,0,0,0,6.5528692848,25160,3,17,0
4765,0,0,0,57,0,14,"$89,632",No,"$276,816",Yes,z_F,z_High School,z_Blue Collar,17,Commercial,"$28,350",4,Minivan,no,$0,0,No,0,6,z_Highly Rural/ Rural,57,0,4,14,0,89631.731715,0,z_Blue Collar,0,276816.12314,0,16.549902571,28350,0,6,0
4767,1,6932,2,37,2,13,"$27,964",Yes,"$125,832",z_No,z_F,<High School,Clerical,19,Private,"$9,980",1,Minivan,no,"$6,321",3,No,2,8,Highly Urban/ Urban,37,0,2,13,0,27964.383186,0,Clerical,0,125832.2366,0,18.988665858,9980,2,8,0
4768,0,0,0,41,0,11,"$54,113",No,,Yes,M,Bachelors,z_Blue Collar,14,Commercial,"$18,330",1,Van,no,"$7,147",3,No,5,10,Highly Urban/ Urban,41,0,2,11,0,54113.027365,0,z_Blue Collar,0,156413.52,1,13.576924125,18330,2,10,0
4769,1,2910,0,41,2,16,"$66,119",No,"$239,085",Yes,M,z_High School,z_Blue Collar,46,Commercial,"$19,300",1,Minivan,yes,"$5,909",3,No,0,,Highly Urban/ Urban,41,0,2,16,0,66119.152366,0,z_Blue Collar,0,239084.82249,0,45.771652128,19300,2,8,1
4771,0,0,0,57,0,13,"$119,975",No,"$339,052",Yes,z_F,PhD,Doctor,40,Private,"$7,200",4,z_SUV,no,$0,0,Yes,2,13,Highly Urban/ Urban,57,0,4,13,0,119974.71282,0,Doctor,0,339052.37588,0,39.716750924,7200,0,13,0
4772,0,0,0,52,0,14,"$86,469",No,"$227,552",Yes,z_F,Bachelors,Professional,16,Private,"$26,410",9,Minivan,no,$0,0,Yes,0,17,Highly Urban/ Urban,52,0,3,14,0,86469.049853,0,Professional,0,227551.61278,0,16.38415173,26410,0,17,0
4773,0,0,0,40,0,12,"$9,984",No,$0,Yes,z_F,<High School,Student,41,Private,"$14,610",4,z_SUV,no,$0,0,No,0,1,Highly Urban/ Urban,40,0,2,12,0,9983.5376799,0,Student,0,0,0,40.684282926,14610,0,1,0
4774,0,0,0,39,0,0,$0,No,$0,Yes,M,z_High School,Student,34,Commercial,"$18,770",1,Pickup,no,$0,0,No,3,7,Highly Urban/ Urban,39,0,2,0,0,0,0,Student,0,0,0,33.649756195,18770,0,7,0
4775,1,26672.645031,0,42,0,10,"$47,114",No,$0,z_No,M,Bachelors,Clerical,22,Commercial,"$10,410",4,Pickup,yes,$0,0,No,7,7,Highly Urban/ Urban,42,0,2,10,0,47113.873683,0,Clerical,0,0,0,21.740560509,10410,0,7,0
4776,1,3379,0,38,1,11,"$51,551",No,"$177,942",Yes,z_F,Bachelors,z_Blue Collar,19,Private,"$5,200",12,Sports Car,no,"$2,605",1,No,0,,Highly Urban/ Urban,38,0,2,11,0,51551.085697,0,z_Blue Collar,0,177941.90803,0,18.939986807,5200,1,8,1
4777,0,0,0,58,0,16,,No,"$327,538",Yes,z_F,PhD,Doctor,55,Private,"$19,750",1,z_SUV,no,$0,0,No,0,14,Highly Urban/ Urban,58,0,4,16,0,128679.71,1,Doctor,0,327538.37158,0,54.523891178,19750,0,14,0
4778,0,0,0,31,1,7,$654,No,"$99,465",Yes,z_F,z_High School,Home Maker,25,Private,"$4,670",15,z_SUV,no,$0,0,No,1,,Highly Urban/ Urban,31,0,1,7,0,653.98839026,0,Home Maker,0,99465.427389,0,24.765463035,4670,0,8,1
4779,0,0,0,49,0,1,"$34,920",No,"$160,162",Yes,M,Masters,Lawyer,23,Private,"$15,750",1,Minivan,no,$0,0,No,0,9,Highly Urban/ Urban,49,0,3,1,0,34920.018471,0,Lawyer,0,160162.23347,0,23.220057942,15750,0,9,0
4780,1,2292,0,37,0,0,$0,No,$0,Yes,M,<High School,Student,26,Commercial,"$5,200",1,Pickup,yes,$0,0,No,0,1,Highly Urban/ Urban,37,0,2,0,0,0,0,Student,0,0,0,26.215995173,5200,0,1,0
4781,0,0,3,45,4,17,"$19,421",No,$0,Yes,M,z_High School,Student,30,Commercial,"$6,000",3,Pickup,no,$0,0,No,0,13,z_Highly Rural/ Rural,45,0,2,17,0,19421.101165,0,Student,0,0,0,30.037279667,6000,0,13,0
4782,1,1288,0,31,1,9,"$54,009",Yes,$0,z_No,z_F,<High School,z_Blue Collar,27,Commercial,"$12,780",9,Pickup,no,$0,0,No,3,,z_Highly Rural/ Rural,31,0,1,9,0,54008.874512,0,z_Blue Collar,0,0,0,27.194765223,12780,0,8,1
4783,0,0,0,36,2,0,$0,Yes,,z_No,M,Bachelors,Student,65,Commercial,"$16,450",1,Van,yes,"$24,681",2,No,6,10,z_Highly Rural/ Rural,36,0,2,0,0,0,0,Student,0,15385.9,1,64.975810622,16450,3,10,0
4785,1,3640,0,42,0,10,"$75,013",No,"$237,750",z_No,z_F,Masters,Lawyer,25,Private,"$15,110",1,z_SUV,no,"$3,928",1,No,0,9,Highly Urban/ Urban,42,0,2,10,0,75012.952605,0,Lawyer,0,237750.12309,0,25.261142878,15110,1,9,0
4786,0,0,0,44,1,13,"$35,475",No,"$168,463",Yes,M,z_High School,Clerical,26,Commercial,"$31,770",6,Panel Truck,yes,$0,0,No,4,1,Highly Urban/ Urban,44,0,2,13,0,35474.718377,0,Clerical,0,168463.22097,0,25.666540566,31770,0,1,0
4787,0,0,0,33,0,3,"$91,431",No,,z_No,M,<High School,z_Blue Collar,60,Commercial,"$26,480",1,Panel Truck,yes,$0,0,No,0,1,z_Highly Rural/ Rural,33,0,1,3,0,91431.080626,0,z_Blue Collar,0,156413.52,1,60.281837044,26480,0,1,0
4788,0,0,0,41,0,11,"$96,880",No,"$270,726",Yes,z_F,Bachelors,Professional,34,Private,"$21,300",10,Pickup,no,$0,0,No,1,5,Highly Urban/ Urban,41,0,2,11,0,96879.771203,0,Professional,0,270725.52276,0,34.181219075,21300,0,5,0
4789,0,0,1,44,2,10,"$53,245",Yes,$0,z_No,M,z_High School,z_Blue Collar,40,Commercial,"$11,400",1,Pickup,yes,$0,0,No,2,8,z_Highly Rural/ Rural,44,0,2,10,0,53244.517295,0,z_Blue Collar,0,0,0,39.702706258,11400,0,8,0
4790,1,3801,0,32,1,11,"$34,660",Yes,,z_No,z_F,<High School,Clerical,18,Private,"$17,590",9,z_SUV,no,"$13,154",1,No,4,7,Highly Urban/ Urban,32,0,1,11,0,34659.769802,0,Clerical,0,117635.99,1,18.406984642,17590,3,7,0
4792,0,0,0,63,0,,,No,,Yes,z_F,z_High School,Home Maker,28,Private,"$9,210",13,Sports Car,no,$0,0,No,0,1,Highly Urban/ Urban,63,0,4,12,1,12073.33,1,Home Maker,0,86861.73,1,28.441494543,9210,0,1,0
4793,0,0,0,54,0,13,"$88,985",No,"$224,145",Yes,z_F,Masters,Professional,15,Private,"$15,800",3,z_SUV,no,$0,0,No,0,1,Highly Urban/ Urban,54,0,3,13,0,88984.518111,0,Professional,0,224144.66272,0,15.159904932,15800,0,1,0
4794,0,0,0,47,0,0,$0,No,$0,Yes,M,<High School,Student,18,Private,"$6,410",1,Pickup,yes,$0,0,No,0,6,Highly Urban/ Urban,47,0,3,0,0,0,0,Student,0,0,0,17.897159159,6410,0,6,0
4796,0,0,0,27,3,15,"$29,008",No,"$147,459",Yes,M,<High School,Clerical,77,Private,"$16,500",1,Van,no,$0,0,No,0,1,z_Highly Rural/ Rural,27,0,1,15,0,29007.779557,0,Clerical,0,147458.55849,0,75.14433,16500,0,1,0
4797,0,0,0,51,0,16,"$17,398",No,"$165,641",Yes,M,Bachelors,Professional,7,Private,"$17,010",13,Van,no,$0,0,No,4,14,Highly Urban/ Urban,51,0,3,16,0,17398.402043,0,Professional,0,165640.54338,0,6.7243843708,17010,0,14,0
4798,0,0,0,30,4,9,"$66,708",No,"$209,538",Yes,z_F,Bachelors,Clerical,24,Private,"$11,900",1,z_SUV,no,$0,0,No,3,1,z_Highly Rural/ Rural,30,0,1,9,0,66707.931146,0,Clerical,0,209538.46449,0,24.49938309,11900,0,1,0
4800,0,0,1,40,2,0,$0,Yes,$0,z_No,z_F,Bachelors,Student,35,Commercial,"$5,500",4,z_SUV,no,"$5,784",1,No,4,7,z_Highly Rural/ Rural,40,0,2,0,0,0,0,Student,0,0,0,34.795346376,5500,2,7,0
4801,0,0,0,38,3,9,"$67,053",Yes,$0,z_No,z_F,z_High School,z_Blue Collar,9,Commercial,"$13,700",1,Sports Car,no,"$40,315",3,Yes,3,5,z_Highly Rural/ Rural,38,0,2,9,0,67052.944151,0,z_Blue Collar,0,0,0,9.3614326502,13700,3,5,0
4803,0,0,0,55,0,12,"$43,293",No,$0,Yes,M,z_High School,Student,59,Commercial,"$27,490",6,Panel Truck,yes,$0,0,No,0,6,z_Highly Rural/ Rural,55,0,3,12,0,43292.945145,0,Student,0,0,0,58.833483955,27490,0,6,0
4804,0,0,0,40,0,14,"$42,420",No,"$192,942",Yes,z_F,<High School,Clerical,20,Commercial,"$25,200",6,Pickup,no,$0,0,No,0,6,Highly Urban/ Urban,40,0,2,14,0,42420.293266,0,Clerical,0,192941.95032,0,19.993616669,25200,0,6,0
4806,1,4037,0,55,0,11,"$83,304",No,"$238,891",Yes,M,Bachelors,Manager,40,Private,"$15,330",1,Minivan,yes,"$7,238",3,No,3,7,Highly Urban/ Urban,55,0,3,11,0,83303.720184,0,Manager,0,238891.15622,0,39.863696103,15330,2,7,0
4807,1,3236,0,30,0,9,"$21,313",No,"$140,640",Yes,M,z_High School,z_Blue Collar,53,Private,"$13,120",6,Minivan,yes,$0,0,No,1,6,z_Highly Rural/ Rural,30,0,1,9,0,21312.79866,0,z_Blue Collar,0,140639.8198,0,52.577112282,13120,0,6,0
4808,0,0,0,38,3,13,"$33,219",No,"$149,415",Yes,M,Masters,Lawyer,45,Private,"$15,150",6,Minivan,yes,$0,0,No,0,17,Highly Urban/ Urban,38,0,2,13,0,33219.137967,0,Lawyer,0,149414.55253,0,45.379773004,15150,0,17,0
4809,0,0,0,53,0,14,"$97,958",No,"$242,606",Yes,z_F,PhD,Doctor,35,Private,"$30,730",10,Minivan,no,$0,0,No,1,11,Highly Urban/ Urban,53,0,3,14,0,97958.173742,0,Doctor,0,242605.80994,0,34.693170427,30730,0,11,0
4810,0,0,0,38,0,12,"$82,078",No,"$227,011",Yes,z_F,Bachelors,z_Blue Collar,10,Commercial,"$10,130",1,Minivan,no,"$33,036",3,No,7,,z_Highly Rural/ Rural,38,0,2,12,0,82078.320331,0,z_Blue Collar,0,227010.93157,0,10.000675087,10130,3,8,1
4811,1,2998,1,36,2,0,$0,Yes,$0,z_No,z_F,z_High School,Home Maker,39,Private,"$8,270",6,z_SUV,no,"$4,765",2,No,6,8,Highly Urban/ Urban,36,0,2,0,0,0,0,Home Maker,0,0,0,39.349489792,8270,1,8,0
4812,1,5126,3,43,3,0,$0,No,$0,Yes,M,z_High School,Student,28,Private,"$5,700",1,Pickup,no,$0,0,No,3,1,Highly Urban/ Urban,43,0,2,0,0,0,0,Student,0,0,0,27.831199741,5700,0,1,0
4813,0,0,0,32,2,,"$71,791",No,"$207,232",Yes,z_F,Bachelors,Professional,46,Private,"$15,100",7,z_SUV,no,"$4,430",2,No,5,12,Highly Urban/ Urban,32,0,1,10,1,71791.045377,0,Professional,0,207231.54488,0,46.416302559,15100,1,12,0
4815,0,0,0,41,2,14,"$51,550",Yes,"$162,774",z_No,M,Bachelors,Professional,31,Private,"$11,930",6,Pickup,yes,"$44,702",2,No,3,5,Highly Urban/ Urban,41,0,2,14,0,51549.850189,0,Professional,0,162773.58922,0,30.669179527,11930,3,5,0
4818,0,0,0,53,0,16,"$148,193",No,"$436,694",Yes,z_F,Bachelors,Professional,31,Private,"$26,200",1,Pickup,no,$0,0,No,0,16,Highly Urban/ Urban,53,0,3,16,0,148192.91037,0,Professional,0,436694.03372,0,31.437161334,26200,0,16,0
4819,1,1902,1,45,2,9,"$13,996",No,,Yes,z_F,Bachelors,Home Maker,41,Private,"$9,630",3,z_SUV,no,"$49,148",2,Yes,0,8,Highly Urban/ Urban,45,0,2,9,0,13995.784118,0,Home Maker,0,86861.73,1,41.138353822,9630,3,8,0
